Government_Schemes_HowToApply_FY2024-26_with_Explained_Steps
Government_Schemes_HowToApply_FY2024-26_with_Explained_Steps,,,,,,,,,,,,,,
ID,Level,State_UT,Scheme_Name,Category,Year_Period,Key_Benefit,Nodal_Body,Source,How_to_Apply,Steps_Verified,No_of_Steps,Steps_Summary,How_to_Apply_Explained,Remarks_Caution
CEN001,Central,All India,Credit Guarantee Scheme for MSME Manufacturing,Scheme,FY2024-25,"Guarantee cover up to Rs 100 crore per applicant for machinery/equipment term loans, no collateral",Ministry of Finance/DFS,pib.gov.in,"1) Visit the official source portal (pib.gov.in) or contact the nodal body (Ministry of Finance/DFS) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Credit Guarantee Scheme for MSME Manufacturing' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (pib.gov.in) or contact the nodal body (Ministry of Finance/DFS). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Credit Guarantee Scheme for MSME Manufacturing' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN002,Central,All India,New MSME Digital Credit Assessment Model,Scheme,FY2024-25,PSU banks build digital-footprint-based MSME credit scoring,Dept. of Financial Services,pib.gov.in,"1) Visit the official source portal (pib.gov.in) or contact the nodal body (Dept. of Financial Services) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'New MSME Digital Credit Assessment Model' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (pib.gov.in) or contact the nodal body (Dept. of Financial Services). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'New MSME Digital Credit Assessment Model' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.","Looks like a policy change, bank-side model or institution rather than something you apply to; the generic steps may not apply. Check the source."
CEN003,Central,All India,Mudra Tarun Plus,Scheme,FY2024-25,Loan slab Rs 10L-20L for repeat Tarun borrowers with clean repayment,MUDRA Ltd,mudra.org.in,"1) Visit the official source portal (mudra.org.in) or contact the nodal body (MUDRA Ltd) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'Mudra Tarun Plus' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (mudra.org.in) or contact the nodal body (MUDRA Ltd). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'Mudra Tarun Plus' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN004,Central,All India,TReDS Onboarding Threshold Reduction,Scheme,FY2024-25,Buyer onboarding turnover threshold cut Rs500Cr to Rs250Cr,RBI/Ministry of Finance,RBI notification,"1) Visit the official source portal (RBI notification) or contact the nodal body (RBI/Ministry of Finance) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'TReDS Onboarding Threshold Reduction' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (RBI notification) or contact the nodal body (RBI/Ministry of Finance). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'TReDS Onboarding Threshold Reduction' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.","Looks like a policy change, bank-side model or institution rather than something you apply to; the generic steps may not apply. Check the source."
CEN005,Central,All India,SIDBI Branch Expansion Programme,Scheme,FY2024-25 to FY2026-27,24 new SIDBI branches in MSME clusters,SIDBI,sidbi.in,"1) Visit the official source portal (sidbi.in) or contact the nodal body (SIDBI) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'SIDBI Branch Expansion Programme' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (sidbi.in) or contact the nodal body (SIDBI). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'SIDBI Branch Expansion Programme' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.","Looks like a policy change, bank-side model or institution rather than something you apply to; the generic steps may not apply. Check the source."
CEN006,Central,All India,MSME Stress-Period Credit Continuity Mechanism,Scheme,FY2024-25,Continued bank credit to MSMEs during financial stress,Ministry of Finance,pib.gov.in,"1) Visit the official source portal (pib.gov.in) or contact the nodal body (Ministry of Finance) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'MSME Stress-Period Credit Continuity Mechanism' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (pib.gov.in) or contact the nodal body (Ministry of Finance). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'MSME Stress-Period Credit Continuity Mechanism' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN007,Central,All India,e-Commerce Export Hubs (PPP Mode),Scheme,FY2024-25,PPP-mode hubs for MSME/artisan international market access,Ministry of Commerce,commerce.gov.in,"1) Visit the official source portal (commerce.gov.in) or contact the nodal body (Ministry of Commerce) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'e-Commerce Export Hubs (PPP Mode)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (commerce.gov.in) or contact the nodal body (Ministry of Commerce). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'e-Commerce Export Hubs (PPP Mode)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN008,Central,All India,MSME Samadhan Portal,Scheme,Ongoing,Delayed payment monitoring/redressal against buyers,Ministry of MSME,samadhaan.msme.gov.in,1) Visit samadhaan.msme.gov.in 2) Register as a supplier MSME using Udyam number 3) File an online delayed-payment reference (Form) against the buyer 4) Case routed to the concerned Micro & Small Enterprise Facilitation Council (MSEFC) 5) Track hearing/resolution status on the portal.,Yes - scheme-specific official process,5,1) Visit the Samadhaan portal | 2) Register as a supplier MSME | 3) File a delayed-payment reference | 4) Case goes to the MSEFC | 5) Track hearing and resolution,"Step 1 - Visit the Samadhaan portal: Open samadhaan.msme.gov.in, the Ministry of MSME portal for recovering delayed payments from buyers.
Step 2 - Register as a supplier MSME: Register as a supplier using your Udyam number. Only registered micro and small enterprises that supplied goods or services can file.
Step 3 - File a delayed-payment reference: Fill in the online delayed-payment reference form against the buyer who has not paid: buyer details, invoice or order details, amount and due dates. Attach supporting invoices and correspondence.
Step 4 - Case goes to the MSEFC: The reference is routed to the Micro & Small Enterprise Facilitation Council (MSEFC) for your area, which takes it up through conciliation and, if needed, arbitration.
Step 5 - Track hearing and resolution: Follow hearing dates, notices and the final order on the portal until the dispute is resolved.",
CEN009,Central,All India,RAMP (Raising & Accelerating MSME Performance),Scheme,FY2024-26,"Outcome-linked support for market access, tech upgrade",Ministry of MSME (World Bank-assisted),msme.gov.in,"1) Visit the official source portal (msme.gov.in) or contact the nodal body (Ministry of MSME (World Bank-assisted)) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'RAMP (Raising & Accelerating MSME Performance)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (msme.gov.in) or contact the nodal body (Ministry of MSME (World Bank-assisted)). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'RAMP (Raising & Accelerating MSME Performance)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
CEN010,Central,All India,SFURTI (Traditional Industries Regeneration),Scheme,FY2024-26,Cluster-based common facility support,Ministry of MSME,msme.gov.in,"1) Visit the official source portal (msme.gov.in) or contact the nodal body (Ministry of MSME) 2) Complete/verify Udyam Registration at udyamregistration.gov.in if not already done 3) Register/login on the scheme's application portal (or approach the nodal office directly for offline schemes) 4) Fill the scheme-specific application form for 'SFURTI (Traditional Industries Regeneration)' with business, project, and financial details 5) Upload/attach required documents (PAN, Udyam certificate, ID & address proof, project report, bank details, category certificate if applicable) 6) Submit for scrutiny; nodal department/bank verifies eligibility 7) On approval, benefit (subsidy/loan/guarantee/grant) is disbursed or activated as per scheme terms; track status via portal or nodal office helpline.",General standard govt-scheme procedure (verify exact steps on official portal/source listed),7,"1) Visit official portal / nodal body | 2) Udyam Registration | 3) Register or log in on the application portal | 4) Fill in the application form | 5) Upload required documents | 6) Submit for scrutiny | 7) Approval, disbursement and tracking","Step 1 - Visit official portal / nodal body: Open the scheme's official source (msme.gov.in) or contact the nodal body (Ministry of MSME). Read the latest guidelines, eligibility criteria, application window and forms here first, because scheme rules change often and third-party sites can be out of date.
Step 2 - Udyam Registration: Complete or verify your Udyam Registration at udyamregistration.gov.in. It is a free online registration that gives your business a Udyam number and certificate, which most MSME schemes use as proof that you are a registered micro, small or medium enterprise. Startups may need DPIIT/state startup recognition instead (see Remarks).
Step 3 - Register or log in on the application portal: Create an account or log in on the scheme's application portal using your mobile number, email and Aadhaar/PAN details. If the scheme is offline, approach the nodal office or bank branch directly and ask for the application form.
Step 4 - Fill in the application form: Fill in the form for 'SFURTI (Traditional Industries Regeneration)' with business details (name, type, address, Udyam number), project details (what you will set up or expand and its cost) and financial details (turnover, existing loans, funding required). Keep numbers consistent with your project report and bank records.
Step 5 - Upload required documents: Upload or attach the documents: PAN, Udyam certificate, ID and address proof, project report (a written plan with costs and expected income), bank details and, if you claim a special benefit, a category certificate (SC/ST/OBC/women etc.). Scan clearly and check file size/format limits.
Step 6 - Submit for scrutiny: Submit the application. The nodal department or bank verifies your eligibility and documents. Expect queries, a site visit or requests for extra papers, and reply promptly to avoid rejection or delay.
Step 7 - Approval, disbursement and tracking: If approved, the benefit (subsidy, loan, guarantee or grant) is released or activated under the scheme's terms. Track the status on the portal or via the nodal office helpline, and keep the sanction letter and receipts for records.",
