"id","section","step_no","title","details","inputs_needed","output","source_url","confidence","last_verified"
"udyam-s0","steps","0","Prepare before you start","Keep details ready so the form can be finished in one sitting (about 15-30 minutes). The process is free, online and paperless; no documents are uploaded.","Aadhaar of owner/authorised signatory (mobile linked for OTP); PAN; GSTIN if applicable; bank account number and IFSC; NIC code of activity; number of employees; investment in plant & machinery/equipment; turnover","Ready checklist","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-s1","steps","1","Open the official portal","Go only to udyamregistration.gov.in. Choose the option that fits you: New Registration (not yet registered), Migrate from Udyog Aadhaar/UAM, Assisted UAM migration, or Udyam Assist Platform (informal micro-enterprises).","Internet access; the official URL","Registration form opened","https://www.udyamregistration.gov.in/","official","2026-09-20"
"udyam-s2","steps","2","Validate Aadhaar","Enter the 12-digit Aadhaar number and name of the owner. Proprietorship: proprietor's Aadhaar. Company/LLP/partnership/HUF: Aadhaar of the authorised signatory, partner or karta. Verify with the OTP sent to the Aadhaar-linked mobile.","Aadhaar number; Aadhaar-linked mobile for OTP","Aadhaar verified","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
"udyam-s3","steps","3","Validate PAN","Select the type of organisation (proprietorship, partnership, LLP, company, HUF, etc.) and enter PAN. The system checks it with the tax database and picks up PAN/GST-linked details automatically. PAN and GSTIN (as applicable) are required for Udyam since 01-04-2021.","Organisation type; PAN; GSTIN if applicable","PAN verified; details auto-filled","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-s4","steps","4","Enter enterprise details","Fill enterprise name, address of office and plant/unit, contact details, status and date of commencement, bank IFSC and account number, main activity (manufacturing / services / both), NIC code(s) and number of persons employed.","Enterprise name; addresses; email and mobile; bank details; NIC code; employee count","Enterprise profile completed","https://www.dmifinance.in/business-loan/udyam-registration-process/","official_secondary","2026-09-20"
"udyam-s5","steps","5","Enter investment and turnover","Give investment in plant & machinery/equipment and turnover. These decide whether you are Micro, Small or Medium. GST/Income-tax linked data is picked up automatically where available.","Investment (INR); turnover (INR)","Enterprise category (Micro/Small/Medium) computed","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-s6","steps","6","Declare and submit","Tick the self-declaration and click Submit and Get Final OTP. Enter the last OTP received on the Aadhaar-linked mobile to complete the registration.","Declaration; final OTP","Application submitted","https://www.dmifinance.in/business-loan/udyam-registration-process/","official_secondary","2026-09-20"
"udyam-s7","steps","7","Receive Udyam Registration Number and certificate","A permanent Udyam Registration Number (URN) and an e-certificate (Udyam Registration Certificate, with QR code) are issued and sent by email. Download later via Print/Verify > Print Udyam Certificate using the URN. No renewal is needed.","URN; registered email","Udyam certificate (PDF)","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-s8","steps","8","After registration","Keep the certificate for bank loans, schemes and tenders. Update details when they change. MSME sellers can onboard a TReDS platform (InvoiceMart, M1xchange, RXIL, DTX India) for invoice discounting. Use Udyam for CGTMSE-backed loans and the micro-enterprise credit card once live.","Udyam certificate","Access to MSME benefits","https://www.udyamregistration.gov.in/","official","2026-09-20"
"udyam-r1","requirements","","Aadhaar","Of the proprietor, authorised signatory, partner or karta; mobile must be linked for OTP","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-r2","requirements","","PAN","Of the enterprise/proprietor; validated against tax database","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-r3","requirements","","GSTIN","Required where applicable under the GST Act (notified by Ministry of MSME, effective 01-04-2021)","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-r4","requirements","","Bank details","Account number and IFSC","","","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
"udyam-r5","requirements","","NIC code","Activity classification of the enterprise (from portal dropdown)","","","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
"udyam-r6","requirements","","Employees, investment, turnover","Self-declared; PAN/GST-linked data is auto-picked where available","","","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
"udyam-u1","rules","","Cost","Registration is free of cost. No fee is payable to anyone. Use only the government portal; beware of fake paid sites.","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-u2","rules","","No documents to upload","Registration is paperless and based on self-declaration; no proof or certificate needs to be uploaded.","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-u3","rules","","One registration per enterprise","An enterprise cannot file more than one Udyam Registration, but any number of activities (manufacturing, service or both) can be added to one registration.","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-u4","rules","","Old registrations","Enterprises with EM-II, UAM (Udyog Aadhaar) or other older MSME registrations must re-register on Udyam.","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-u5","rules","","Classification from 01-04-2025","Micro: investment up to Rs 2.5 crore and turnover up to Rs 10 crore. Small: up to Rs 25 crore and Rs 100 crore. Medium: up to Rs 125 crore and Rs 500 crore. Both limits must be met. (S.O. 1364(E), 21-Mar-2025.) Some websites still show older limits.","","","https://newsonair.gov.in/govt-notifies-revised-criteria-for-classifying-msmes","official_secondary","2026-09-20"
"udyam-u6","rules","","Informal micro-enterprises","Informal micro-enterprises without GST/PAN can register through the Udyam Assist Platform (UAP).","","","https://www.udyamregistration.gov.in/","official","2026-09-20"
"udyam-u7","rules","","Validity","Registration is permanent; no renewal. Certificate carries a QR code for verification.","","","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
"udyam-u8","rules","","Approx. time","About 15-30 minutes if all details are ready.","","","https://www.incorpx.io/guide/how-to-register-msme-udyam-for-existing-business","secondary","2026-09-20"
"udyam-f1","faq","","Do I need a CA or agent to register?","No. It is a self-service, free process; you only need Aadhaar, PAN (and GSTIN if applicable) and basic business details.","","","https://udyamregistration.gov.in/Important.aspx","official","2026-09-20"
"udyam-f2","faq","","Can a street vendor or home business register?","Yes, if it meets MSME limits. Informal micro-enterprises can use the Udyam Assist Platform.","","","https://www.udyamregistration.gov.in/","official","2026-09-20"
"udyam-f3","faq","","Is Udyam needed for PMMY/Mudra?","Not mandatory for PMMY, but Udyam helps with CGTMSE-backed loans, the micro-enterprise credit card and other schemes.","","","https://static.pib.gov.in/WriteReadData/specificdocs/documents/2025/feb/doc202524496501.pdf","official_secondary","2026-09-20"
"udyam-f4","faq","","Where do I download my certificate later?","On the Udyam portal: Print/Verify > Print Udyam Certificate, using the Udyam Registration Number.","","","https://tallysolutions.com/business-guides/what-is-udyam-and-steps-for-registration/","official_secondary","2026-09-20"
