ID,City_or_Region,State_UT,Issuing_Authority,Step_No,Step,Steps_Verified,Confidence
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),1,Check that your trade needs a licence under Section 394 (Schedule M trades). Shops & Establishment registration (Form A) is a separate registration made at the ward office.,Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),2,"Log on to portal.mcgm.gov.in and open Online Services, then Common Business Application.",Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),3,Fill in the complete online form using the applicant's Aadhaar number and registered email ID.,Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),4,"Scan and upload the documents listed in the checklist, together with the Undertaking cum Indemnity Bond drafted by the MCGM Law Officer.",Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),5,Agree to the Health Department's general and special conditions and to the fire-safety conditions for the trade obtained from the Chief Fire Officer (CFO).,Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),6,An application number is generated; pay the fee through the payment gateway.,Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL001,Mumbai,Maharashtra,Municipal Corporation of Greater Mumbai (MCGM/BMC),7,The licence copy and fee receipt are sent to your registered email and can be downloaded as a PDF from the portal.,Official source (MCGM instruction book for health licences via Common Business Application),High for online steps; Medium for documents
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,1,"Identify the licence type: General Trade/Storage Licence (Sec 417), Health Trade Licence, or Factory Licence.",Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,2,Check that the premises are in a conforming (permitted-use) area; licences for non-conforming areas are treated as void.,Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,3,Register or log in on the MCD online licensing portal.,Partly official (PTI report on MCD statement); portal name from secondary source,Medium
TL002,Delhi (MCD area),Delhi (NCT),Municipal Corporation of Delhi (MCD); NDMC and Delhi Cantonment Board issue licences in their own areas,4,"Select the licence type and fill in applicant, business and premises details.",Partly official (PTI report on MCD statement); portal name from secondary source,Medium
